date,ticker,exchange,Category,Industry,Sector,market_cap_category,Growth Metric (%),Growth Metric (%) (prev),Growth Metric Δ (pp),Growth Metric Δ (%),P/E Ratio,Industry Median P/E,Earnings Per Share,Price-to-Book,Industry Median PB,EPS Growth (%),Dividend Yield (%),1-Month Return (%),3-Month Return (%),6-Month Return (%),1-Year Return (%),Business Description
2026-01-02 22:45:38,VELO,NASDAQ,Value,Computer Hardware,Technology,micro,4894.74,6897.68,-2002.94,-29.04,3.628,22.79,-46.18,11.497919,2.62,,0.0,208.75,326.22,129.8,18.85,"Velo3D, Inc. produces and sells metal additive three dimensional printers in the Americas, Europe, and internationally. The company's printers enable the production of components for space rockets, jet engines, fuel delivery systems, and other metal parts, which it sells or leases to customers for use in their businesses. It also offers Flow, a proprietary software platform, which scans part designs for geometrical features; and Sapphire, Sapphire 1MZ, Sapphire XC, and Sapphire XC 1MZ printers. In addition, the company provides Assure, a quality control software platform that includes process metrologies; Flow Developer, a new version of print preparation software that turns traditional design files into print files; and Intelligent Fusion, an underlying manufacturing process that unifies and manages the information flow, sensor data, and the advanced printing technology for precision control of the entire print. Further, it offers Rapid Production Solutions to build resilient supply chains for production parts in different industries; and provides support services. The company serves small- and medium-sized enterprises to Fortune 500 companies in the space, aviation, defense, automotive, energy, and industrial markets. Velo3D, Inc. was founded in 2014 and is headquartered in Fremont, California. Velo3D, Inc operates as a subsidiary of Arrayed Additive inc."
2026-01-02 22:45:38,AEC,NASDAQ,Unclassified,Uranium,Energy,micro,2054.71,,,,-7.763158020220304,228.4,-0.76,2.4851604,5.04,,0.0,-9.23,-41.24,-12.59,31.11,"Anfield Energy Inc. engages in the exploration, evaluation, development, and production of mineral properties in the United States. It primarily explores for vanadium, uranium, and gold deposits. The company was formerly known as Anfield Resources Inc. and changed its name to Anfield Energy Inc. in December 2017. Anfield Energy Inc. was incorporated in 1989 and is headquartered in Burnaby, Canada."
2026-01-02 22:45:38,STAI,NASDAQ,Unclassified,Building Products & Equipment,Industrials,nano,167.61,,,,-1.0779220562476617,25.18,-3.08,-0.26172644,3.23,,0.0,-55.73,-59.41,-76.98,-92.45,"ScanTech AI Systems Inc. develops systems, software, and artificial intelligence solutions for security checkpoints. The company offers SENTINEL Computed Tomography (CT), a checkpoint baggage inspection system for airports and other security applications; and ALL SECURE, a multi-energy cargo inspection system. It serves defense and security, aviation, nuclear and energy, ports and borders, cargo and freight, and other critical infrastructure sectors. The company was founded in 2011 and is based in Buford, Georgia."
2026-01-02 22:45:38,SATS,NASDAQ,Unclassified,Telecom Services,Communication Services,large,155.09,184.46,-29.37,-15.92,-2.4917814372540152,13.32,-45.02,4.6445575,1.76,,0.0,51.47,42.0,257.72,385.42,"EchoStar Corporation, together with its subsidiaries, provides networking technologies and services in the United States and internationally. It operates through four segments: Pay-TV, Retail Wireless, 5G Network Deployment, Broadband and Satellite Services. The Pay-TV segment offers a direct broadcast and fixed satellite services; designs, develops, and distributes receiver system; and provides digital broadcast operations, including satellite uplinking/downlinking, transmission and, other services to third-party pay-TV providers; and multichannel, live-linear and on-demand streaming over-the-top internet-based domestic, international, Latino, and Freestream video programming services under the DISH and SLING brand names. Its Retail Wireless segment provides prepaid and postpaid wireless services under the Boost Mobile, Boost postpaid, and Gen Mobile brands, as well various wireless devices. The Network Deployment segment deploys a facilities-based 5G broadband network and commercializes deployment of 5G VoNR. The Broadband and Satellite Services offers broadband services to consumer customers, which include home, and small to medium-sized businesses; and satellite and multi-transport technologies, and managed network services to telecommunications providers, aeronautical service providers, civilian and defense government entities, and other enterprise customers. EchoStar Corporation was incorporated in 2007 and is headquartered in Englewood, Colorado."
2026-01-02 22:45:38,AGX,NYSE,Income/Growth Blend,Engineering & Construction,Industrials,mid,134.18,184.99,-50.81,-27.47,38.30317,33.23,8.51,10.774468,4.64,9.700000000000001,0.61,-8.82,20.35,54.99,120.63,"Argan, Inc., through its subsidiaries, provides engineering, procurement, construction, commissioning, maintenance, project development, and technical consulting services to the power generation market in the United States, Republic of Ireland, and the United Kingdom. Its Power Industry Services segment offers engineering, procurement, and construction, as well as designing, building, and commissioning of large-scale energy projects to the owners of alternative energy facilities, such as biomass plants, wind farms, battery storage, and solar fields; and design, construction, project management, start-up, and operation, as well as technical consulting services. This segment serves independent power project owners, public utilities, power plant heavy equipment suppliers, and other commercial firms. The company's Industrial Construction Services segment provides field services that support new plant construction and additions; maintenance turnarounds; shutdowns and emergency mobilizations for industrial plants; and delivery and installation of steel components, such as piping systems and pressure vessels. Its Telecommunications Infrastructure Services segment offers trenchless directional boring and excavation for underground communication and power networks; aerial cabling; high and low voltage electric lines; and private area outdoor lighting systems, as well as installs buried cable. It also provides structured cabling, terminations, and connectivity that offers the physical transport for high-speed data, voice, video, and security networks. This segment serves electricity cooperative, state and local government agencies, counties and municipalities, and technology-oriented government contracting firms, as well as federal government customers in the mid-Atlantic region of the United States. Argan, Inc. was incorporated in 1961 and is headquartered in Arlington, Virginia."
2026-01-02 22:45:38,PL,NYSE,Unclassified,Aerospace & Defense,Industrials,mid,113.07,133.36,-20.29,-15.21,-46.38636328957298,41.31,-0.44,18.304932,4.08,,0.0,73.41,37.44,197.96,383.65,"Planet Labs PBC engages in the design, construction, and launch constellations of satellites with the intent of providing high cadence geospatial data delivered to customers through an online platform the United States and internationally. The company's platform offers planet monitoring, tasking, archive, apps, application programming interfaces (APIs), basemaps, and fusion, as well as analytic feeds and planetary variables. It also provides Tanager, a hyperspectral imaging satellite that delivers full-spectrum imagery across the visible and shortwave infrared regions; and Earth Observation platform, which enables customers and partners to access, analyze, and act on its proprietary data catalog by discovering relevant data layers, extracting useful information, and delivering insights through custom-build solutions or GIS workflows through APIs and browser-based applications. It serves agriculture, mapping, energy, forestry, finance, and insurance companies, as well as government agencies. Planet Labs PBC was founded in 2010 and is headquartered in San Francisco, California."
2026-01-02 22:45:38,SANM,NASDAQ,Growth,Electronic Components,Technology,mid,112.16,141.83,-29.67,-20.92,35.715244,36.87,4.46,3.6139028,3.36,-21.7,0.0,3.33,36.45,55.65,108.77,"Sanmina Corporation provides integrated manufacturing solutions, components, products and repair, logistics, and after-market services in the Americas, the Asia Pacific, Europe, the Middle East, and Africa. The company operates through two businesses: Integrated Manufacturing Solutions; and Components, Products and Services. The company offers product design and engineering, including concept development, detailed design, prototyping, validation, preproduction, manufacturing design release, and product industrialization; assembly and test services; direct order fulfillment and logistics services; after-market product service and support; and supply chain management services, as well as engaging in the manufacture of components, subassemblies, and complete systems; and direct order fulfilment and logistics services. In addition, the company provides components, such as printed circuit boards, backplane fabrication and backplane assemblies, cable assemblies, fabricated metal parts, precision machined parts, and plastic injected molded parts; memory solutions; storage platforms; optical, radio frequency, and microelectronic solutions; defense and aerospace products, design, manufacturing, repair, and refurbishment services; and cloud-based manufacturing execution software. It offers its products and services primarily to original equipment manufacturers in the industrial, medical, defense and aerospace, automotive, communications networks, and cloud infrastructure industries. The company was formerly known as Sanmina-SCI Corp. Sanmina Corporation was incorporated in 1980 and is headquartered in San Jose, California."
2026-01-02 22:45:38,LITE,NASDAQ,Growth,Communication Equipment,Technology,large,107.49,129.29,-21.8,-16.86,238.3395,30.76,1.62,35.059475,2.32,,0.0,27.51,127.46,316.29,332.13,"Lumentum Holdings Inc. manufactures and sells optical and photonic products in the Americas, the Asia-Pacific, Europe, the Middle East, and Africa. It operates through two segments, Cloud & Networking and Industrial Tech. The Cloud & Networking segment offers optical and photonic chips, components, modules, and subsystems supplied to cloud data center operators, AI/ML infrastructure providers, and network equipment manufacturer customers that are building cloud data centers and network infrastructures. Its Industrial Tech segment provides short-pulse solid-state lasers, kilowatt-class fiber lasers, diode lasers, and gas lasers that serves the semiconductor device, solar cell, display, and electric vehicle and battery manufacturing markets. The company was incorporated in 2015 and is headquartered in San Jose, California."
2026-01-02 22:45:38,COOP,NASDAQ,Growth,,,large,96.79,96.79,0.0,0.0,,3.46,,,4.21,,0.0,16.7,38.58,70.08,136.69,
2026-01-02 22:45:38,RGC,NASDAQ,Unclassified,Drug Manufacturers - Specialty & Generic,Healthcare,mid,96.73,124.58,-27.85,-22.36,-2054.0000915527344,21.78,-0.01,2054.0002,2.15,,0.0,66.45,27.18,-10.66,14997.06,"Regencell Bioscience Holdings Limited operates as a Traditional Chinese medicine (TCM) bioscience company in Hong Kong. It focuses on the research, development, and commercialization of TCM for the treatment of neurocognitive disorders and degeneration, primarily for attention deficit hyperactivity disorder and autism spectrum disorder. The company was incorporated in 2014 and is headquartered in Causeway Bay, Hong Kong."
2026-01-02 22:45:38,GLW,NYSE,Income/Growth Blend,Electronic Components,Technology,large,94.76,116.75,-21.99,-18.84,58.121796,36.87,1.56,6.350774,3.36,,1.28,8.31,10.25,72.23,94.51,"Corning Incorporated operates in optical communications, display technologies, environmental technologies, specialty materials, and life sciences businesses. The company provides optical fibers and cables; and hardware and equipment products, such as cable assemblies, fiber optic hardware and connectors, optical components and couplers, closures, network interface devices, and other accessories for the telecommunications industry, businesses, governments, and individuals. It also offers glass substrates for flat panel displays, including liquid crystal displays and organic light-emitting diodes that are used in televisions, notebook computers, desktop monitors, tablets, and handheld devices. In addition, it manufactures products that offer material formulations for glass, glass ceramics, crystals, precision metrology instruments, and software, as well as glass wafers and substrates, tinted sunglasses, and radiation shielding products for markets, such as mobile consumer electronics, semiconductor equipment optics and consumables, aerospace and defense optics, radiation shielding products, sunglasses, and telecommunications components. Further, the company provides ceramic substrates and filter products for emissions control in mobile, gasoline, and diesel applications. Additionally, it offers laboratory products, including consumables, such as plastic vessels, liquid handling plastics, specialty surfaces, cell culture media, and serum, as well as general labware, and glassware and equipment under the Corning, Pyrex, Falcon, and Axygen brands. Corning Incorporated operates in the United States, Canada, Mexico, Japan, Taiwan, China, South Korea, Germany, and internationally. The company was formerly known as Corning Glass Works and changed its name to Corning Incorporated in April 1989. The company was founded in 1851 and is headquartered in Corning, New York."
2026-01-02 22:45:38,BE,NYSE,Growth,Electrical Equipment & Parts,Industrials,large,92.34,105.28,-12.94,-12.29,1233.625,27.77,0.08,35.718422,2.91,,0.0,-6.01,12.15,307.14,305.8,"Bloom Energy Corporation designs, manufactures, sells, and installs solid-oxide fuel cell systems for on-site power generation in the United States and internationally. It offers Bloom Energy Server, a power generation platform to convert fuel, such as natural gas, biogas, hydrogen, or a blend of these fuels, into electricity through an electrochemical process without combustion. The company also provides Bloom Electrolyzer for producing hydrogen. It sells its products through direct and indirect sales channels to utilities, data centers, agriculture, retail, hospitals, higher education, biotech, and manufacturing industries. The company was formerly known as Ion America Corp. and changed its name to Bloom Energy Corporation in 2006. Bloom Energy Corporation was incorporated in 2001 and is headquartered in San Jose, California."
2026-01-02 22:45:38,INSM,NASDAQ,Unclassified,Biotechnology,Healthcare,large,91.15,119.79,-28.64,-23.91,-28.66019338465817,13.45,-6.18,39.820145,3.32,,0.0,-14.27,15.92,81.1,153.54,"Insmed Incorporated develops and commercializes therapies for patients with serious and rare diseases in the United States, Europe, Japan, and internationally. The company offers ARIKAYCE for the treatment of refractory nontuberculous mycobacterial lung infections, as well as is in phase 3 clinical trial for the treatment of mycobacterium avium complex lung disease as part of a combination antibacterial drug regimen for adult patients. It also devlops brensocatib, an oral reversible inhibitor of dipeptidyl peptidase 1(DPP1) that is in phase 3 clinical trial for the treatment of bronchiectasis; and in phase 2 clinical trial for the treatment of chronic rhinosinusitis without nasal polyps and hidradenitis suppurativa. In addition, the company is developing treprostinil palmitil inhalation powder, an inhaled formulation of a treprostinil prodrug treprostinil palmitil, which is in phase 3 clinical trial for the treatment of pulmonary hypertension associated with interstitial lung disease; and phase 2 clinical trial for the treatment of pulmonary arterial hypertension. Further, it develops gene therapy, a microdystrophin adeno-associated virus gene replacement therapy which is in phase 1 clinical trial for the treatment of Duchenne muscular dystrophy, as well as is in pre-clinical development for gene therapy, next generation DPP1 inhibitor, deimmunized therapeutic protein, and synthetic rescue. The company was founded in 1988 and is headquartered in Bridgewater, New Jersey."
2026-01-02 22:45:38,WDC,NASDAQ,Growth,Computer Hardware,Technology,large,90.57,110.3,-19.73,-17.89,26.436619,22.79,7.1,10.902649,2.62,,0.29,17.41,43.11,184.61,289.07,"Western Digital Corporation develops, manufactures, and sells data storage devices and solutions based on hard disk drive (HDD) technology in the United States, Asia, Europe, the Middle East, and Africa. The company offers internal HDDs, data center drives, data center platforms, external drives, portable drives, NAS for home and office, and accessories. It sells its data storage devices and solutions through its computer manufacturers, sales personnel, dealers, distributors, and retailers. Western Digital Corporation was founded in 1970 and is headquartered in San Jose, California."
2026-01-02 22:45:38,NWG,NYSE,Growth,Banks - Regional,Financial Services,large,89.85,129.78,-39.93,-30.77,10.067797,12.35,1.77,2.9045317,1.1,34.9,3.71,5.38,24.79,35.02,84.24,"NatWest Group plc, together with its subsidiaries, provides banking and financial products and services in the United Kingdom and internationally. It operates through Retail Banking, Private Banking, Commercial & Institutional segments. The Retail Banking segment offers a range of banking products and related financial services, such as current accounts, mortgages, personal unsecured lending, and personal deposits, as well as mobile and online banking services. The Private Banking segment provides banking, lending, and wealth management products for high-net-worth individuals and their business interests. The Commercial & Institutional segment consists of customer businesses under business banking, commercial mid-market, and corporates and institutions; and offers banking operations services in the Channel Islands, Isle of Man, Gibraltar, and Luxembourg, as well as products and solutions for businesses comprising start-ups, corporates, and large institutions. The company was formerly known as The Royal Bank of Scotland Group plc and changed its name to NatWest Group plc in July 2020. NatWest Group plc was founded in 1727 and is headquartered in Edinburgh, the United Kingdom."
2026-01-02 22:45:38,TTMI,NASDAQ,Growth,Electronic Components,Technology,mid,89.69,117.4,-27.71,-23.6,54.736435,36.87,1.29,4.2882304,3.36,270.7,0.0,5.78,17.14,60.4,183.12,"TTM Technologies, Inc. manufactures and sells mission systems, radio frequency (RF) components and RF microwave/microelectronic assemblies, and printed circuit boards (PCB) in the United States, Taiwan, and internationally. It operates in two segments, PCB and RF&S Components. The company offers a range of engineered systems, RF and microwave assemblies, HDI PCBs, flexible PCBs, rigid-flex PCBs, custom assemblies and system integration, IC substrates, passive RF components, advanced ceramic RF components, hi-reliability multi-chip modules, beamforming and switching networks, PCB products, RF components, and backplane/custom assembly solutions, including conventional PCBs. It also provides value-added services, such as design for manufacturability, PCB layout design, simulation and testing services, and quick turnaround production, as well as specialized assembly and RF testing. In addition, the company offers maritime surveillance and weather avoidance radar systems for fixed- and rotary-wing aircraft, unmanned aerial vehicles, and shipboard platforms; AN/APS-153 multi-mode radar; communications suite within the MH-60R/S multi-mission helicopters; and develops multi-mode maritime and overland surveillance AESA radar under MOSAIC brand. Further, it provides identification friend, monopulse secondary surveillance radars, and air traffic control systems; wired and wireless communication systems; custom electronic assemblies; quick turnaround services comprising prototype production and ramp-to-volume production; and thermal management. The company serves original equipment manufacturers and electronic manufacturing services providers, original design manufacturers, distributors, and government agencies; and aerospace and defense, data center computing, automotive, medical, industrial, and instrumentation, and networking markets. TTM Technologies, Inc. was incorporated in 1978 and is headquartered in Santa Ana, California."
2026-01-02 22:45:38,FEIM,NASDAQ,Growth,Communication Equipment,Technology,small,87.49,112.83,-25.34,-22.46,23.188072,30.76,2.18,8.451764,2.32,,0.0,84.15,41.64,136.1,173.69,"Frequency Electronics, Inc., together with its subsidiaries, engages in the design, development, manufacture, marketing, and sale of precision time and frequency control products and components for microwave integrated circuit applications. The company operates through two segments, FEI-NY and FEI-Zyfer. The FEI-NY segment offers precision time and frequency control products for communication satellites, terrestrial cellular telephone or other ground-based telecommunication stations; and other components and systems for the U.S. military. This segment also provides design and technical support for the satellite business. The FEI-Zyfer segment provides global positioning system technologies for systems and subsystems for secure communications, government and commercial, and other locator applications; and engages in the sale and support of wireline telecommunications products, including US5G. It operates in the United States, Europe, and Asia. Frequency Electronics, Inc. was founded in 1961 and is headquartered in Mitchel Field, New York."
