ticker,exchange,Category,Industry,Sector,market_cap_category,Growth Metric (%),P/E Ratio,Industry Median P/E,Earnings Per Share,Price-to-Book,Industry Median PB,EPS Growth (%),Dividend Yield (%),1-Month Return (%),3-Month Return (%),6-Month Return (%),1-Year Return (%),Business Description
TFPM,NYSE,Growth,Other Precious Metals & Mining,Basic Materials,mid,111.08,35.930233,38.67,0.86,3.4329517,3.44,,0.72,10.99,30.05,40.81,74.51,"Triple Flag Precious Metals Corp., a precious metals streaming and royalty company, engages in acquiring and managing precious metals, streams, royalties, and other mineral interests in Australia, Canada, Colombia, Cote d'Ivoire, Honduras, Mexico, Mongolia, Peru, South Africa, and the United States. It has a portfolio of streams and royalties providing exposure to copper, gold, silver, nickel, lead, and zinc. The company was founded in 2016 and is based in Toronto, Canada."
CLS,NYSE,Growth,Electronic Components,Technology,large,96.6,60.230934,38.87,4.59,18.085829,3.73,122.10000000000001,0.0,9.69,69.59,228.96,378.14,"Celestica Inc., together with its subsidiaries, provides supply chain solutions in Asia, North America, and internationally. It operates through two segments, Advanced Technology Solutions, and Connectivity and Cloud Solutions. The company offers a range of product manufacturing and related supply chain services, including design and development, new product introduction, engineering services, component sourcing, electronics manufacturing and assembly, testing, mechanical assembly, systems integration, precision machining, order fulfillment, logistics, asset management, product licensing, and after-market repair and return services. It also provides hardware platform solutions, which includes development of infrastructure platforms, and hardware and software design solutions and services, including open-source software that can be used as-is or customized for specific applications; and management of program, including design and supply chain, manufacturing, and after-market support, including IT asset disposition and asset management services. The company offers its products and services to original equipment manufacturers, and cloud-based and other service providers, including hyperscalers, and other companies in aerospace and defense, industrial, HealthTech, capital equipment, communications, and enterprise markets. Celestica Inc. was incorporated in 1994 and is headquartered in Toronto, Canada."
HOOD,NASDAQ,Growth,Capital Markets,Financial Services,large,95.87,65.94416,20.0,1.97,14.294674,2.42,105.3,0.0,7.44,24.51,215.47,384.2,"Robinhood Markets, Inc. operates financial services platform in the United States. Its platform allows users to invest in stocks, exchange-traded funds (ETFs), American depository receipts, options, gold, and cryptocurrencies. The company offers fractional trading, recurring investments, fully-paid securities lending, access to investing on margin, cash sweep, instant withdrawals, retirement program, around-the-clock trading, joint investing accounts, event contracts, and future contract services. It also provides various learning and education solutions comprise Snacks, an accessible digest of business news stories for a new generation of investors.; Learn, which is an online collection of guides, feature tutorials, and financial dictionary; Newsfeeds that offer access to free, premium news from sites from various sites, such as Barron's, Reuters, and Dow Jones. In addition, the company offers In-App Education, a resource that covers investing fundamentals, including why people invest, a stock market overview, and tips on how to define investing goals, as well as allows customers to understand the basics of investing before their first trade; and Crypto Learn and Earn, an educational module available to various crypto customers through Robinhood Learn to teach customers the basics related to cryptocurrency. Further, it provides Robinhood credit cards, cash card and spending accounts, and wallets. The company also owns and operates a digital currency marketplace that allows companies and individuals from all around the world to buy and sell bitcoin, litecoin, ethereum, ripple, and bitcoin cash. Robinhood Markets, Inc. was incorporated in 2013 and is headquartered in Menlo Park, California."
KGC,NYSE,Growth,Gold,Basic Materials,large,95.01,20.241936,28.99,1.24,4.0496936,3.96,151.6,0.48,12.76,57.91,70.21,138.78,"Kinross Gold Corporation, together with its subsidiaries, engages in the acquisition, exploration, and development of gold properties principally in the United States, Brazil, Chile, Canada, and Mauritania. It is also involved in the extraction and processing of gold-containing ores; reclamation of gold mining properties; and production and sale of silver. Kinross Gold Corporation was founded in 1993 and is headquartered in Toronto, Canada."
KTOS,NASDAQ,Growth,Aerospace & Defense,Industrials,large,89.9,831.2,39.05,0.1,7.148263,4.06,-63.3,0.0,3.06,41.41,151.19,234.49,"Kratos Defense & Security Solutions, Inc., a technology company, provides technology, products, and system and software for the defense, national security, and commercial markets in the United States, other North America, the Asia Pacific, the Middle East, Europe, and Internationally. The company operates in two segments, Kratos Government Solutions and Unmanned Systems. It offers ground systems for satellites and space vehicles, including software for command and control, telemetry, and tracking and control; jet powered unmanned aerial drone systems, hypersonic vehicles, and rocket systems; propulsion systems for drones, missiles, loitering munitions, supersonic systems, spacecraft, and launch systems; command, control, communication, computing, combat, and intelligence surveillance and reconnaissance; and microwave electronic products for missile, radar, missile defense, space, and satellite; and counter unmanned aircraft systems, directed energy, communication and other systems, and virtual and augmented reality training systems for the warfighter. The company primarily serves national security-related agencies, the U.S. Department of Defense, intelligence and classified agencies, international government agencies, and commercial customers. Kratos Defense & Security Solutions, Inc. was incorporated in 1994 and is headquartered in San Diego, California."
CDE,NYSE,Growth,Gold,Basic Materials,large,88.29,52.624996,28.99,0.4,4.783004,3.96,4859.7,0.0,29.3,122.52,249.09,196.48,"Coeur Mining, Inc. operates as a gold and silver producer in the United States, Canada, and Mexico. It operates through Palmarejo, Rochester, Kensington, Wharf, Silvertip, and Las Chispas segments. The company explores for gold, silver, zinc, lead, and other related metals. It markets and sells its concentrates to third-party customers, including refiners and smelters, under off-take agreements. The company was formerly known as Coeur d'Alene Mines Corporation and changed its name to Coeur Mining, Inc. in May 2013. Coeur Mining, Inc. was incorporated in 1928 and is headquartered in Chicago, Illinois."
TTMI,NASDAQ,Growth,Electronic Components,Technology,mid,84.89,64.22472,38.87,0.89,3.6074471,3.73,57.599999999999994,0.0,8.18,20.41,206.49,179.51,"TTM Technologies, Inc. manufactures and sells mission systems, radio frequency (RF) components and RF microwave/microelectronic assemblies, and printed circuit boards (PCB) in the United States, Taiwan, and internationally. It operates in two segments, PCB and RF&S Components. The company offers a range of engineered systems, RF and microwave assemblies, HDI PCBs, flexible PCBs, rigid-flex PCBs, custom assemblies and system integration, IC substrates, passive RF components, advanced ceramic RF components, hi-reliability multi-chip modules, beamforming and switching networks, PCB products, RF components, and backplane/custom assembly solutions, including conventional PCBs. It also provides value-added services, such as design for manufacturability, PCB layout design, simulation and testing services, and quick turnaround production, as well as specialized assembly and RF testing. In addition, the company offers maritime surveillance and weather avoidance radar systems for fixed- and rotary-wing aircraft, unmanned aerial vehicles, and shipboard platforms; AN/APS-153 multi-mode radar; communications suite within the MH-60R/S multi-mission helicopters; and develops multi-mode maritime and overland surveillance AESA radar under MOSAIC brand. Further, it provides identification friend, monopulse secondary surveillance radars, and air traffic control systems; wired and wireless communication systems; custom electronic assemblies; quick turnaround services comprising prototype production and ramp-to-volume production; and thermal management. The company serves original equipment manufacturers and electronic manufacturing services providers, original design manufacturers, distributors, and government agencies; and aerospace and defense, data center computing, automotive, medical, industrial, and instrumentation, and networking markets. TTM Technologies, Inc. was incorporated in 1978 and is headquartered in Santa Ana, California."
SANM,NASDAQ,Growth,Electronic Components,Technology,mid,81.01,27.676659,38.87,4.67,3.0026717,3.73,33.0,0.0,8.28,26.72,72.52,91.65,"Sanmina Corporation provides integrated manufacturing solutions, components, products and repair, logistics, and after-market services in the Americas, the Asia Pacific, Europe, the Middle East, and Africa. It operates in two businesses, Integrated Manufacturing Solutions; and Components, Products and Services. The company offers product design and engineering, including concept development, detailed design, prototyping, validation, preproduction, manufacturing design release, and product industrialization; assembly and test services; direct order fulfillment and logistics services; after-market product service and support; and supply chain management services, as well as engages in the manufacture of components, subassemblies, and complete systems. In addition, the company provides components, such as printed circuit boards, backplane and backplane assemblies, cable assemblies, fabricated metal parts, precision machined parts, and plastic injected molded parts; memory solutions; storage platforms; optical, radio frequency, and microelectronic solutions; defense and aerospace products, design, manufacturing, repair, and refurbishment services; and cloud-based manufacturing execution software. It offers its products and services primarily to original equipment manufacturers in the industrial, medical, defense and aerospace, automotive, communications networks, and cloud infrastructure industries. The company was formerly known as Sanmina-SCI Corp. Sanmina Corporation was incorporated in 1980 and is headquartered in San Jose, California."
ATLCL,NASDAQ,Growth,NONE,NONE,small,78.01,,42.6,,,9.97,,6.178166493215402,0.34,3.13,6.16,11.27,None
COOP,NASDAQ,Growth,Mortgage Finance,Financial Services,large,71.67,23.631165,19.96,8.92,2.6452577,1.58,-2.9000000000000004,0.0095,12.45,40.64,59.33,123.27,"Mr. Cooper Group Inc., together with its subsidiaries, operates as a non-bank servicer of residential mortgage loans in the United States. It operates through two segments, Servicing and Originations. The Servicing segment performs activities on behalf of investors or owners of the underlying mortgages and mortgage servicing rights, including collecting and disbursing borrower payments, investor reporting, customer service, modifying loans, performing collections, foreclosures, and the sale of real estate owned. The Originations segment originates residential mortgage loans through its direct-to-consumer and correspondent channels. The company provides its services under the Mr. Cooper, Xome, and Rushmore Servicing brands. The company was formerly known as WMIH Corp. and changed its name to Mr. Cooper Group Inc. in October 2018. Mr. Cooper Group Inc. was founded in 1994 and is based in Coppell, Texas. As of October 1, 2025, Mr. Cooper Group Inc. operates as subsidiary of Rocket Companies, Inc."
